pokedex_number,name,type,total,hp,attack,defense,spatk,spdef,speed,generation,legendary,bug_type,dark_type,dragon_type,electric_type,fairy_type,fighting_type,fire_type,flying_type,ghost_type,grass_type,ground_type,ice_type,normal_type,poison_type,psychic_type,rock_type,steel_type,water_type
362,GlalieMega Glalie,Ice,580,80,120,80,120,80,100,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
363,Spheal,Ice,290,70,40,50,55,50,25,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
364,Sealeo,Ice,410,90,60,70,75,70,45,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
365,Walrein,Ice,530,110,80,90,95,90,65,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
366,Clamperl,Water,345,35,64,85,74,55,32,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
367,Huntail,Water,485,55,104,105,94,75,52,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
368,Gorebyss,Water,485,55,84,105,114,75,52,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
369,Relicanth,Water,485,100,90,130,45,65,55,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
370,Luvdisc,Water,330,43,30,55,40,65,97,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
371,Bagon,Dragon,300,45,75,60,40,30,50,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Shelgon,Dragon,420,65,95,100,60,50,50,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Salamence,Dragon,600,95,135,80,110,80,100,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,SalamenceMega Salamence,Dragon,700,95,145,130,120,90,120,3,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Beldum,Steel,300,40,55,80,35,60,30,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
375,Metang,Steel,420,60,75,100,55,80,50,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
376,Metagross,Steel,600,80,135,130,95,90,70,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
376,MetagrossMega Metagross,Steel,700,80,145,150,105,110,110,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
377,Regirock,Rock,580,80,100,200,50,100,50,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
378,Regice,Ice,580,80,50,100,100,200,50,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
379,Registeel,Steel,580,80,75,150,75,150,50,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
380,Latias,Dragon,600,80,80,90,110,130,110,3,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,LatiasMega Latias,Dragon,700,80,100,120,140,150,110,3,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Latios,Dragon,600,80,90,80,130,110,110,3,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,LatiosMega Latios,Dragon,700,80,130,100,160,120,110,3,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Kyogre,Water,670,100,100,90,150,140,90,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
382,KyogrePrimal Kyogre,Water,770,100,150,90,180,160,90,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
383,Groudon,Ground,670,100,150,140,100,90,90,3,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
383,GroudonPrimal Groudon,Ground,770,100,180,160,150,90,90,3,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
384,Rayquaza,Dragon,680,105,150,90,150,90,95,3,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,RayquazaMega Rayquaza,Dragon,780,105,180,100,180,100,115,3,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,Jirachi,Steel,600,100,100,100,100,100,100,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386,DeoxysNormal Forme,Psychic,600,50,150,50,150,50,150,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
386,DeoxysAttack Forme,Psychic,600,50,180,20,180,20,150,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
386,DeoxysDefense Forme,Psychic,600,50,70,160,70,160,90,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
386,DeoxysSpeed Forme,Psychic,600,50,95,90,95,90,180,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
387,Turtwig,Grass,318,55,68,64,45,55,31,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
388,Grotle,Grass,405,75,89,85,55,65,36,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
389,Torterra,Grass,525,95,109,105,75,85,56,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
390,Chimchar,Fire,309,44,58,44,58,44,61,4,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
391,Monferno,Fire,405,64,78,52,78,52,81,4,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
392,Infernape,Fire,534,76,104,71,104,71,108,4,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
393,Piplup,Water,314,53,51,53,61,56,40,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
394,Prinplup,Water,405,64,66,68,81,76,50,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
395,Empoleon,Water,530,84,86,88,111,101,60,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
396,Starly,Normal,245,40,55,30,30,30,60,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
397,Staravia,Normal,340,55,75,50,40,40,80,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
398,Staraptor,Normal,485,85,120,70,50,60,100,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
399,Bidoof,Normal,250,59,45,40,35,40,31,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
400,Bibarel,Normal,410,79,85,60,55,60,71,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
401,Kricketot,Bug,194,37,25,41,25,41,25,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Kricketune,Bug,384,77,85,51,55,51,65,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Shinx,Electric,263,45,65,34,40,34,45,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Luxio,Electric,363,60,85,49,60,49,60,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Luxray,Electric,523,80,120,79,95,79,70,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Budew,Grass,280,40,30,35,50,70,55,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
407,Roserade,Grass,515,60,70,65,125,105,90,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
408,Cranidos,Rock,350,67,125,40,30,30,58,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
409,Rampardos,Rock,495,97,165,60,65,50,58,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
410,Shieldon,Rock,350,30,42,118,42,88,30,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
411,Bastiodon,Rock,495,60,52,168,47,138,30,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
412,Burmy,Bug,224,40,29,45,29,45,36,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,WormadamPlant Cloak,Bug,424,60,59,85,79,105,36,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,WormadamSandy Cloak,Bug,424,60,79,105,59,85,36,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,WormadamTrash Cloak,Bug,424,60,69,95,69,95,36,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,Mothim,Bug,424,70,94,50,94,50,66,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Combee,Bug,244,30,30,42,30,42,70,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Vespiquen,Bug,474,70,80,102,80,102,40,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Pachirisu,Electric,405,60,45,70,45,90,95,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,Buizel,Water,330,55,65,35,60,30,85,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
419,Floatzel,Water,495,85,105,55,85,50,115,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
420,Cherubi,Grass,275,45,35,45,62,53,35,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
421,Cherrim,Grass,450,70,60,70,87,78,85,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
422,Shellos,Water,325,76,48,48,57,62,34,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
423,Gastrodon,Water,475,111,83,68,92,82,39,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
424,Ambipom,Normal,482,75,100,66,60,66,115,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
425,Drifloon,Ghost,348,90,50,34,60,44,70,4,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
426,Drifblim,Ghost,498,150,80,44,90,54,80,4,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
427,Buneary,Normal,350,55,66,44,44,56,85,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
428,Lopunny,Normal,480,65,76,84,54,96,105,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
428,LopunnyMega Lopunny,Normal,580,65,136,94,54,96,135,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
429,Mismagius,Ghost,495,60,60,60,105,105,105,4,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
430,Honchkrow,Dark,505,100,125,52,105,52,71,4,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Glameow,Normal,310,49,55,42,42,37,85,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
432,Purugly,Normal,452,71,82,64,64,59,112,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
433,Chingling,Psychic,285,45,30,50,65,50,45,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
434,Stunky,Poison,329,63,63,47,41,41,74,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
435,Skuntank,Poison,479,103,93,67,71,61,84,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
436,Bronzor,Steel,300,57,24,86,24,86,23,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
437,Bronzong,Steel,500,67,89,116,79,116,33,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
438,Bonsly,Rock,290,50,80,95,10,45,10,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
439,Mime Jr.,Psychic,310,20,25,45,70,90,60,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
440,Happiny,Normal,220,100,5,5,15,65,30,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
441,Chatot,Normal,411,76,65,45,92,42,91,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
442,Spiritomb,Ghost,485,50,92,108,92,108,35,4,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
443,Gible,Dragon,300,58,70,45,40,45,42,4,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Gabite,Dragon,410,68,90,65,50,55,82,4,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Garchomp,Dragon,600,108,130,95,80,85,102,4,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,GarchompMega Garchomp,Dragon,700,108,170,115,120,95,92,4,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Munchlax,Normal,390,135,85,40,40,85,5,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
447,Riolu,Fighting,285,40,70,40,35,40,60,4,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
448,Lucario,Fighting,525,70,110,70,115,70,90,4,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
448,LucarioMega Lucario,Fighting,625,70,145,88,140,70,112,4,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
449,Hippopotas,Ground,330,68,72,78,38,42,32,4,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
450,Hippowdon,Ground,525,108,112,118,68,72,47,4,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
451,Skorupi,Poison,330,40,50,90,30,55,65,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
452,Drapion,Poison,500,70,90,110,60,75,95,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
453,Croagunk,Poison,300,48,61,40,61,40,50,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
454,Toxicroak,Poison,490,83,106,65,86,65,85,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
455,Carnivine,Grass,454,74,100,72,90,72,46,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
456,Finneon,Water,330,49,49,56,49,61,66,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
457,Lumineon,Water,460,69,69,76,69,86,91,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
458,Mantyke,Water,345,45,20,50,60,120,50,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
459,Snover,Grass,334,60,62,50,62,60,40,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
460,Abomasnow,Grass,494,90,92,75,92,85,60,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
460,AbomasnowMega Abomasnow,Grass,594,90,132,105,132,105,30,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461,Weavile,Dark,510,70,120,65,45,85,125,4,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,Magnezone,Electric,535,70,70,115,130,90,60,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Lickilicky,Normal,515,110,85,95,80,95,50,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
464,Rhyperior,Ground,535,115,140,130,55,55,40,4,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
465,Tangrowth,Grass,535,100,100,125,110,50,50,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
466,Electivire,Electric,540,75,123,67,95,85,95,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Magmortar,Fire,540,75,95,67,125,95,83,4,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468,Togekiss,Fairy,545,85,50,95,120,115,80,4,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
469,Yanmega,Bug,515,86,76,86,116,56,95,4,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Leafeon,Grass,525,65,110,130,60,65,95,4,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
471,Glaceon,Ice,525,65,60,110,130,95,65,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
472,Gliscor,Ground,510,75,95,125,45,75,95,4,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
473,Mamoswine,Ice,530,110,130,80,70,60,80,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
474,Porygon-Z,Normal,535,85,80,70,135,75,90,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
475,Gallade,Psychic,518,68,125,65,65,115,80,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
475,GalladeMega Gallade,Psychic,618,68,165,95,65,115,110,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
476,Probopass,Rock,525,60,55,145,75,150,40,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
477,Dusknoir,Ghost,525,45,100,135,65,135,45,4,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
478,Froslass,Ice,480,70,80,70,80,70,110,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
479,Rotom,Electric,440,50,50,77,95,77,91,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,RotomHeat Rotom,Electric,520,50,65,107,105,107,86,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,RotomWash Rotom,Electric,520,50,65,107,105,107,86,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,RotomFrost Rotom,Electric,520,50,65,107,105,107,86,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,RotomFan Rotom,Electric,520,50,65,107,105,107,86,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,RotomMow Rotom,Electric,520,50,65,107,105,107,86,4,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Uxie,Psychic,580,75,75,130,75,130,95,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
481,Mesprit,Psychic,580,80,105,105,105,105,80,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
482,Azelf,Psychic,580,75,125,70,125,70,115,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
483,Dialga,Steel,680,100,120,120,150,100,90,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
484,Palkia,Water,680,90,120,100,150,120,100,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
485,Heatran,Fire,600,91,90,106,130,106,77,4,TRUE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
486,Regigigas,Normal,670,110,160,110,80,110,100,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
487,GiratinaAltered Forme,Ghost,680,150,100,120,100,120,90,4,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
487,GiratinaOrigin Forme,Ghost,680,150,120,100,120,100,90,4,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
488,Cresselia,Psychic,600,120,70,120,75,130,85,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
489,Phione,Water,480,80,80,80,80,80,80,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
490,Manaphy,Water,600,100,100,100,100,100,100,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
491,Darkrai,Dark,600,70,90,90,135,90,125,4,TRUE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,ShayminLand Forme,Grass,600,100,100,100,100,100,100,4,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
492,ShayminSky Forme,Grass,600,100,103,75,120,75,127,4,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
493,Arceus,Normal,720,120,120,120,120,120,120,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
494,Victini,Psychic,600,100,100,100,100,100,100,5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
495,Snivy,Grass,308,45,45,55,45,55,63,5,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
496,Servine,Grass,413,60,60,75,60,75,83,5,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
497,Serperior,Grass,528,75,75,95,75,95,113,5,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
498,Tepig,Fire,308,65,63,45,45,45,45,5,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
499,Pignite,Fire,418,90,93,55,70,55,55,5,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
500,Emboar,Fire,528,110,123,65,100,65,65,5,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
501,Oshawott,Water,308,55,55,45,63,45,45,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502,Dewott,Water,413,75,75,60,83,60,60,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
503,Samurott,Water,528,95,100,85,108,70,70,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
504,Patrat,Normal,255,45,55,39,35,39,42,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
505,Watchog,Normal,420,60,85,69,60,69,77,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
506,Lillipup,Normal,275,45,60,45,25,45,55,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
507,Herdier,Normal,370,65,80,65,35,65,60,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
508,Stoutland,Normal,500,85,110,90,45,90,80,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
509,Purrloin,Dark,281,41,50,37,50,37,66,5,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,Liepard,Dark,446,64,88,50,88,50,106,5,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,Pansage,Grass,316,50,53,48,53,48,64,5,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
512,Simisage,Grass,498,75,98,63,98,63,101,5,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
513,Pansear,Fire,316,50,53,48,53,48,64,5,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
514,Simisear,Fire,498,75,98,63,98,63,101,5,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
515,Panpour,Water,316,50,53,48,53,48,64,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
516,Simipour,Water,498,75,98,63,98,63,101,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
517,Munna,Psychic,292,76,25,45,67,55,24,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
518,Musharna,Psychic,487,116,55,85,107,95,29,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
519,Pidove,Normal,264,50,55,50,36,30,43,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
520,Tranquill,Normal,358,62,77,62,50,42,65,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
521,Unfezant,Normal,488,80,115,80,65,55,93,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
522,Blitzle,Electric,295,45,60,32,50,32,76,5,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Zebstrika,Electric,497,75,100,63,80,63,116,5,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Roggenrola,Rock,280,55,75,85,25,25,15,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
525,Boldore,Rock,390,70,105,105,50,40,20,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
526,Gigalith,Rock,515,85,135,130,60,80,25,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
527,Woobat,Psychic,313,55,45,43,55,43,72,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
528,Swoobat,Psychic,425,67,57,55,77,55,114,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
529,Drilbur,Ground,328,60,85,40,30,45,68,5,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
530,Excadrill,Ground,508,110,135,60,50,65,88,5,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
531,Audino,Normal,445,103,60,86,60,86,50,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
531,AudinoMega Audino,Normal,545,103,60,126,80,126,50,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
532,Timburr,Fighting,305,75,80,55,25,35,35,5,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
533,Gurdurr,Fighting,405,85,105,85,40,50,40,5,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
534,Conkeldurr,Fighting,505,105,140,95,55,65,45,5,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
535,Tympole,Water,294,50,50,40,50,40,64,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
